Year,cd,Bachelors_degree_or_higher,high_school_or_some_degree,Less_than_high_school_graduate
2020,3_VA,105095,306616,37675
2020,3_WA,133558,346745,45927
2020,3_WI,125892,371307,35016
2020,30_CA,97199,104480,19412
2020,30_TX,148351,429836,157863
2020,31_CA,58236,137709,42532
2020,31_TX,70307,154484,25867
2020,32_CA,440688,439154,89285
2020,32_TX,18940,17403,3745
2020,33_CA,23167,144950,62033
2020,33_TX,13214,39606,21968
2020,34_CA,254457,389221,189573
2020,34_TX,103858,355379,148719
2020,35_CA,65461,138076,35687
2020,35_TX,110048,248102,68802
2020,36_CA,112639,45212,5300
2020,36_TX,69368,226430,57039
2020,37_CA,152830,175534,84956
2020,37_TX,407160,333561,53122
2020,38_CA,212928,454322,107109
2020,38_TX,2973,12603,2347
2020,39_CA,151693,501362,128120
2020,4_AL,69353,295273,67001
2020,4_AR,84724,352061,62641
2020,4_AZ,241831,412794,71576
2020,4_CA,126341,289460,53452
2020,4_CO,105297,121598,16185
2020,4_CT,239428,212115,46386
2020,4_FL,88893,277080,46469
2020,4_GA,55113,88707,15962
2020,4_IA,110586,318653,39444
2020,4_IL,104084,262831,94730
2020,4_IN,160483,377601,54164
2020,4_KS,117279,272035,44995
2020,4_KY,175412,378385,54337
2020,4_LA,84828,328147,66940
2020,4_MA,248001,261676,36595
2020,4_MD,174390,313333,71157
2020,4_MI,63471,151849,20948
2020,4_MN,153679,199687,35929
2020,4_MO,98848,283740,35085
2020,4_MS,69143,241732,40491
2020,4_NC,187081,208493,39742
2020,4_NJ,96903,159029,18307
2020,4_NV,39593,144742,24011
2020,4_NY,231489,274299,47200
2020,4_OH,65563,210192,24328
2020,4_OK,88586,243575,33177
2020,4_OR,98052,259893,33497
2020,4_PA,126149,141594,13219
2020,4_SC,155336,307809,57998
2020,4_TN,78830,258688,42871
2020,4_TX,37223,124642,21563
2020,4_UT,176703,326743,33744
2020,4_VA,85287,216611,38935
2020,4_WA,85380,268261,88719
2020,4_WI,108215,253435,53337
2020,40_CA,57289,79568,19010
2020,41_CA,24247,56318,9079
2020,42_CA,65880,128951,48836
2020,43_CA,157063,316689,125626
2020,44_CA,162379,482286,208379
2020,45_CA,57311,79772,16561
2020,46_CA,144583,342019,131398
2020,47_CA,334250,341016,79321
2020,48_CA,303060,664959,127983
2020,49_CA,292822,290616,41225
2020,5_AL,118293,199894,36396
2020,5_AZ,143662,220154,20575
2020,5_CA,153229,487303,122054
2020,5_CO,157069,280544,27467
2020,5_CT,166146,263556,40497
2020,5_FL,178420,270251,31998
2020,5_GA,310840,247680,47984
2020,5_IL,121151,24068,2183
2020,5_IN,196284,266662,33125
2020,5_KY,74145,350203,88202
2020,5_LA,86542,327107,79750
2020,5_MA,345578,234228,39577
2020,5_MD,103399,180158,18003
2020,5_MI,110867,382225,52467
2020,5_MN,258051,273092,46263
2020,5_MO,98099,191471,32094
2020,5_NC,90983,208524,36418
2020,5_NJ,234140,197374,22596
2020,5_NY,157587,283746,66436
2020,5_OH,113244,363055,43688
2020,5_OK,185337,389843,68422
2020,5_OR,159708,282779,37799
2020,5_PA,161952,221743,27244
2020,5_SC,91790,230191,40193
2020,5_TN,234011,327990,54329
2020,5_TX,92569,330635,86509
2020,5_VA,147756,276320,42786
2020,5_WA,115139,278873,29106
2020,5_WI,119823,146171,12822
2020,50_CA,224021,215706,44532
2020,51_CA,93821,99139,14166
2020,52_CA,65187,197455,48140
2020,6_AL,200747,369353,60132
2020,6_AZ,172981,376295,71468
2020,6_CA,96816,236822,40311
2020,6_CO,284126,363324,70734
2020,6_FL,80929,274807,41172
2020,6_GA,209398,208758,32546
2020,6_IL,163428,314626,57216
2020,6_IN,105185,274426,51289
2020,6_KY,130250,224914,33347
2020,6_LA,71103,135370,19374
2020,6_MA,204125,199825,30467
2020,6_MD,178680,259147,40914
2020,6_MI,257066,301982,28764
2020,6_MN,96210,207864,19260
2020,6_MO,128764,353872,45224
2020,6_NC,173198,383894,73169
2020,6_NJ,216099,299999,55633
2020,6_NY,129016,231575,85741
2020,6_OH,67915,263650,33012
2020,6_OR,221522,383299,70148
2020,6_PA,233334,251429,46585
2020,6_SC,236727,548914,94062
2020,6_TN,61016,171636,28626
2020,6_TX,31209,134311,33837
2020,6_VA,125636,330938,49939
2020,6_WA,158185,376317,49171
2020,6_WI,176587,422531,41113
2020,7_AL,55728,198658,32083
2020,7_AZ,16291,67774,19086
2020,7_CA,102211,194453,46552
2020,7_CO,129574,175961,25560
2020,7_FL,118501,192112,21405
2020,7_GA,307187,380045,85651
2020,7_IL,75327,57883,8676
2020,7_IN,83264,163632,43626
2020,7_MA,79449,77113,21960
2020,7_MD,130572,283840,60985
2020,7_MI,129935,250359,21807
2020,7_MN,70665,226865,23205
2020,7_MO,109755,307675,46159
2020,7_NC,152640,408163,67309
2020,7_NJ,229769,195390,22042
2020,7_NY,424101,468567,122089
2020,7_OH,92362,121058,12155
2020,7_PA,118155,257079,32750
2020,7_SC,80325,270051,48818
2020,7_TN,167727,339918,55104
2020,7_TX,355997,283669,60132
2020,7_VA,200425,330265,52963
2020,7_WA,276774,154061,16702
2020,7_WI,77089,231447,25502
2020,8_AZ,61862,162088,35971
2020,8_CA,52841,110084,31680
2020,8_CO,100177,225316,47594
2020,8_FL,121081,260815,36395
2020,8_GA,119583,447467,93539
2020,8_IL,281539,339598,61025
2020,8_IN,89235,293217,45577
2020,8_MA,347897,323742,57056
2020,8_MD,263973,155198,41714
2020,8_MI,118093,386845,47522
2020,8_MN,134664,362767,34427
2020,8_MO,97062,374868,65523
2020,8_NC,103935,241097,44825
2020,8_NJ,100691,127479,38536
2020,8_NY,139682,233436,58946
2020,8_OH,74929,225826,23349
2020,8_PA,95675,265365,36758
2020,8_TN,51174,217585,36375
2020,8_TX,167510,322978,63292
2020,8_VA,372637,184160,51308
2020,8_WA,85420,98157,15454
2020,8_WI,94694,243630,25797
2020,9_AZ,129242,488434,124233
2020,9_CA,106386,369395,93517
2020,9_FL,84056,198776,31294
2020,9_GA,95482,265649,71317
2020,9_IL,196883,137201,23877
2020,9_IN,130847,367094,51519
2020,9_MA,155084,252501,31805
2020,9_MI,148242,337053,37976
2020,9_NC,189551,319783,56376
2020,9_NJ,154612,268153,57839
