Year,cd,Less_than_$5000,$5000_to_$9999,$10000_to_$14999,$15000_to_$19999,$20000_to_$24999,$25000_to_$34999,$35000_to_$49999,$50000_to_$74999,$75000_to_$99999,$100000_to_$149999,$150000_or_more
2020,4_CT,6779,6272,8903,9057,8569,17603,25534,38797,29789,47135,98395
2020,4_FL,9937,7921,10552,9941,13003,24888,33853,48052,33961,34015,23116
2020,4_GA,3401,1821,3014,3798,3824,8671,12670,17650,12138,13572,10924
2020,4_IA,9050,8457,14228,15196,15250,31571,42763,63299,47431,49592,28273
2020,4_IL,10685,8427,10761,12421,15672,26272,31922,41359,30752,31825,24446
2020,4_IN,9945,8283,12835,15021,16903,33856,46919,69669,52051,59859,39616
2020,4_KS,8833,8050,12664,13340,13751,29944,40571,53719,37886,41761,26342
2020,4_KY,10854,10285,14577,15764,15447,33364,44593,67402,52768,63663,51640
2020,4_LA,14071,16198,22275,22013,23822,34760,41204,48490,31437,33259,22352
2020,4_MA,7928,6243,11485,10022,10239,18937,26444,42583,38886,59482,94701
2020,4_MD,7700,5392,6108,6330,7034,17641,27126,52034,43784,62868,64511
2020,4_MI,4268,4834,6449,7214,7512,15948,20493,25835,19414,20922,15473
2020,4_MN,5967,5502,8408,8798,8785,19280,27139,42095,30233,41913,40587
2020,4_MO,5933,6954,11501,12287,13229,26248,37359,51688,35714,42566,25387
2020,4_MS,8355,7644,12742,13544,11351,22984,30705,40908,26741,28307,16416
2020,4_NC,7829,6357,8998,8695,10434,22818,31726,44234,34279,43365,43644
2020,4_NJ,3560,2931,4928,5749,6689,14309,19387,27193,22157,33932,37203
2020,4_NV,2603,2060,2934,3525,4692,10084,15846,22406,18928,22171,13072
2020,4_NY,4096,3614,5642,6080,7149,13118,20457,33724,33323,57205,106533
2020,4_OH,5073,5549,7871,8405,9969,18646,26492,39935,27125,28500,18102
2020,4_OK,6401,6428,8642,9118,11127,20275,30298,41567,30506,33438,20412
2020,4_OR,9452,8943,13824,14391,15028,28573,37148,50872,34170,35330,23490
2020,4_PA,3257,2080,3719,4619,5705,10184,15920,26857,24222,35241,44734
2020,4_SC,10720,9995,13286,14128,14095,32766,43683,60911,43264,45026,37678
2020,4_TN,7193,6853,10700,11403,11641,23981,35357,46078,30185,31095,17799
2020,4_TX,4136,4229,6049,5635,5407,11036,15464,21817,14486,15751,12106
2020,4_UT,4413,3596,4820,6256,6835,15736,27801,49556,42589,59248,51074
2020,4_VA,6875,6434,10293,9921,8605,18753,27536,36968,24932,27817,17384
2020,4_WA,5906,7020,10343,11448,11656,24661,36734,53911,36526,39760,29363
2020,4_WI,13355,11319,19062,15629,16003,28465,36778,45862,28733,28790,18048
2020,40_CA,1315,549,1345,1178,1586,3555,5139,10265,7802,13911,24829
2020,41_CA,1357,961,1364,1707,1625,2997,5222,7398,6252,10261,11107
2020,42_CA,4103,2412,5802,4867,5220,10648,15132,23154,18159,19303,18541
2020,43_CA,11285,7725,16618,11570,13520,26378,35247,50568,36975,47824,49512
2020,44_CA,11191,8542,18343,16921,17477,35221,47826,69191,51743,62525,56905
2020,45_CA,1362,1089,1360,1606,2193,4459,6462,10948,9070,16323,23662
2020,46_CA,7044,5442,10245,8629,9226,20280,29592,47871,36831,49989,45832
2020,47_CA,13139,6190,10908,9854,11187,23028,33168,55220,52639,80266,122315
2020,48_CA,13381,8944,16957,18179,18012,37750,55077,92085,75524,109463,123446
2020,49_CA,9134,4466,7136,7302,10001,19529,28412,47448,42568,68240,121769
2020,5_AL,6636,5866,10460,11002,10234,21552,27581,36276,28686,34164,32011
2020,5_AZ,5356,2553,4560,6021,6389,15186,23337,40310,34149,48160,48673
2020,5_CA,10699,8393,18662,17068,18947,37119,52948,76322,56527,69219,62476
2020,5_CO,7065,5089,8784,8991,10111,21088,31853,51481,38556,48395,42226
2020,5_CT,7389,6554,10680,9992,11946,21461,32511,47636,37752,54104,62257
2020,5_FL,8906,5204,8112,9045,10918,23926,38196,53936,40034,48722,50502
2020,5_GA,15961,13379,14092,16725,14132,29649,39241,56756,40464,50930,80192
2020,5_IL,3498,2567,2452,1598,2129,4307,7022,14345,13279,17664,36981
2020,5_IN,9252,7522,10269,11684,13745,27921,36816,57926,40514,51988,52342
2020,5_KY,19718,24760,26856,24057,22977,39194,45144,55582,33725,28910,12796
2020,5_LA,14784,16678,20309,19248,21548,32092,39166,47127,30798,36329,22826
2020,5_MA,8772,6667,11584,10038,8905,18164,26901,43860,40396,65912,119120
2020,5_MD,2868,1921,2782,3368,2885,7429,12578,22742,23005,40939,50794
2020,5_MI,9145,11094,15745,16767,17826,38663,51411,71940,49877,51178,32193
2020,5_MN,11180,8816,14614,12720,13599,27056,42999,63147,48974,61063,61115
2020,5_MO,8904,8360,11514,12592,11766,24527,32094,38965,26512,27784,18772
2020,5_NC,7361,8668,11582,12528,11452,24444,31949,38850,28787,26906,20168
2020,5_NJ,5062,3464,5858,6309,7011,14249,18334,32739,32133,53496,96482
2020,5_NY,7643,6653,9699,8511,9528,18260,27346,41587,35820,46988,49079
2020,5_OH,9881,9463,13677,14191,16239,33702,48009,66776,47633,52018,31762
2020,5_OK,13418,11052,16531,15672,22001,37362,53665,71873,50447,56511,47164
2020,5_OR,7711,6164,9927,9425,10399,23674,34803,55170,43587,52574,49000
2020,5_PA,7251,5364,8220,7439,9186,20129,27107,38887,31534,43312,52854
2020,5_SC,8942,6237,11340,11365,11655,22092,27852,41251,28134,33647,25558
2020,5_TN,9177,7043,11140,12113,12623,29156,46511,69531,52779,63996,61034
2020,5_TX,7203,8152,11606,11871,12569,27566,39135,55698,38526,47612,29627
2020,5_VA,9571,8102,13787,12471,13719,25546,34967,48347,38157,44577,43971
2020,5_WA,8464,9243,11794,11473,12939,26820,38608,50527,36503,39018,29612
2020,5_WI,3041,1736,4137,5331,6134,12529,18804,29660,26208,37370,40268
2020,50_CA,7179,5001,10084,7481,9498,19050,25730,43167,31660,47199,65497
2020,51_CA,2409,1415,2722,2282,2715,6493,8654,16237,16218,23084,26755
2020,52_CA,3527,2697,6698,5372,5852,11812,15822,25060,18193,25103,19609
2020,6_AL,14144,13479,16740,16889,18808,36859,49700,71093,50081,61799,51909
2020,6_AZ,14243,13857,20633,21787,21966,41629,59309,76525,52366,55934,42744
2020,6_CA,6502,5106,9844,8208,8882,19926,27097,39724,28889,36455,27928
2020,6_CO,8636,6342,10214,10677,11953,27582,45154,72345,56637,81777,83449
2020,6_FL,10454,7666,14159,13514,14739,31269,41306,54196,33264,34750,22064
2020,6_GA,4945,3703,5485,5773,7290,14823,24720,39251,34872,50669,69924
2020,6_IL,10810,7062,10691,12835,14953,28588,37975,53969,41195,56575,52859
2020,6_IN,6748,6217,10663,11733,13983,27350,38529,54971,36985,40511,23647
2020,6_KY,7464,9260,10451,10457,10832,23574,30891,42397,31125,35725,27578
2020,6_LA,3373,2339,3076,3803,6139,10237,16501,22534,18827,24740,22454
2020,6_MA,6178,5322,9946,8814,7864,15313,21441,35572,32960,49139,80350
2020,6_MD,5831,6233,7489,7682,9086,18124,27163,43282,36270,53222,64416
2020,6_MI,9668,7764,10265,11008,12381,26137,38510,59550,48083,65699,76563
2020,6_MN,3159,3117,5157,5192,5892,13576,21142,32880,30443,40903,31305
2020,6_MO,9545,8353,13590,15098,15642,33691,43440,62805,47806,50013,31868
2020,6_NC,14494,13873,21885,22088,21322,42900,57893,71937,49097,52962,35760
2020,6_NJ,8240,7267,9213,9857,10710,20711,28271,47519,41386,61327,75727
2020,6_NY,7399,6925,9773,11103,11113,22112,29340,40251,30682,36683,31477
2020,6_OH,9360,10372,14619,14655,15726,30059,37125,47444,32649,29972,15239
2020,6_OR,8807,8084,12314,12964,14530,31546,46095,73306,55889,75560,69234
2020,6_PA,6537,6128,8093,8778,9840,22223,28636,48860,39403,60151,86848
2020,6_SC,26722,22872,27560,26982,29085,57310,76154,99304,65963,67604,51453
2020,6_TN,5535,5899,9532,9620,8692,18238,24206,30949,21133,21828,14774
2020,6_TX,3178,3166,5229,5161,5837,12257,15787,20224,14385,17867,11072
2020,6_VA,8546,8395,13875,14963,16020,29393,44489,62834,44573,49721,34545
2020,6_WA,9482,9167,13530,13266,14925,30412,47670,70928,54789,67068,54272
2020,6_WI,9440,6213,15579,16434,18824,40119,58148,85883,65697,75989,48005
2020,7_AL,9456,10749,13444,11265,10976,19758,22554,27662,17335,19307,10429
2020,7_AZ,2564,1886,2717,2287,3373,7123,9185,11414,7718,6724,3164
2020,7_CA,5647,4548,9634,7246,7280,14942,20709,33498,24968,32948,30190
2020,7_CO,4436,4015,6029,6566,7187,13413,22034,35545,28215,38798,38912
2020,7_FL,7222,3621,5810,7992,8843,18798,25882,36387,29093,33466,28643
2020,7_GA,9223,5793,9911,10920,13306,32183,46373,73537,55714,73754,80196
2020,7_IL,5081,4113,4197,3702,3514,6069,7352,11466,9655,14487,22633
2020,7_IN,12346,8622,9979,10821,9935,21271,28137,32668,18080,17320,13474
2020,7_MA,4461,5014,5787,3862,4141,6818,8118,12769,10871,15702,21041
2020,7_MD,14306,14848,16082,15169,12596,25982,36948,50511,33200,39178,30027
2020,7_MI,6846,7209,8568,9085,11656,22175,31814,45527,34213,39306,31925
2020,7_MN,5014,6022,11183,10579,11266,20510,31275,45861,34831,36628,20194
2020,7_MO,9104,11549,17131,16085,18494,35858,47931,62357,38785,35424,20400
2020,7_NC,19343,16152,23624,20467,25480,43543,57057,75967,49484,49796,33133
2020,7_NJ,4140,2513,4774,5404,6852,11601,17480,33405,31842,52428,98167
2020,7_NY,27597,20668,27758,23265,22828,41757,55653,81647,69628,90585,119556
2020,7_OH,2567,1880,3719,4129,5486,10745,17273,28024,21930,29794,28243
2020,7_PA,4979,6253,8566,11067,10578,22431,31750,45165,35324,44825,37666
2020,7_SC,12028,9770,14660,15179,17390,30295,39614,51111,29630,30216,18312
2020,7_TN,11036,9869,13489,14840,14963,31462,47515,64364,46432,49736,37457
2020,7_TX,12697,7992,11184,12343,13497,27419,43263,63293,47544,68325,112004
2020,7_VA,4469,4076,6419,7080,8207,16455,28801,49602,44935,66812,81134
2020,7_WA,7017,5393,8527,6381,7631,14348,22876,39255,32742,53808,88337
2020,7_WI,5576,5263,11914,11706,11980,25285,34674,48279,36372,36202,21299
2020,8_AZ,4460,3554,4422,5164,6359,13036,18745,26681,20040,23748,16614
2020,8_CA,3254,1728,3952,3582,3135,8411,11951,18530,15188,19962,20262
2020,8_CO,3732,3282,4791,5623,6148,14263,22516,38584,30915,40892,31259
2020,8_FL,8029,5843,12362,13776,14064,29250,40515,55925,35577,42687,34751
2020,8_GA,24860,17362,25440,24141,23645,45175,51209,65616,45179,47369,27125
2020,8_IL,8716,5874,9014,10313,12224,25574,39622,66189,58649,82850,94148
2020,8_IN,8275,9030,14061,14217,15535,30530,41129,55003,39334,37986,21904
2020,8_MA,13318,11836,19618,14716,14418,22299,35809,55247,50086,78045,109835
2020,8_MD,4618,4309,5124,5885,5599,13269,18622,33341,31758,50699,103749
2020,8_MI,13513,14607,18471,17969,20745,41712,54722,71138,42490,46202,31368
2020,8_MN,8482,9255,15462,14162,16642,31730,46809,68758,51336,63886,41427
2020,8_MO,11766,14735,20115,19641,20552,38592,50921,64939,43944,43018,22085
2020,8_NC,6043,4884,9036,10223,10256,21189,30031,41470,32151,35100,30109
2020,8_NJ,4071,5246,6120,6304,6012,11067,17309,23592,17268,19965,30943
2020,8_NY,12252,12778,20672,14766,13540,22526,30843,38684,29786,38695,38347
2020,8_OH,5192,4585,6294,8818,9129,17593,26885,41328,30923,33610,21368
2020,8_PA,8071,7225,12864,13620,13544,26457,34580,48815,35768,36619,23696
2020,8_TN,8295,9131,13421,12889,12639,24918,29018,37374,22799,20702,10532
2020,8_TX,7101,5141,6537,7308,9254,20981,32411,53505,39507,58613,54234
2020,8_VA,6373,5299,5973,5784,7864,15772,24694,45171,44813,71448,133690
2020,8_WA,1897,1836,2727,3218,3914,6609,10120,15544,14015,22486,36586
2020,8_WI,5605,4110,9586,10588,10905,22863,33491,50240,36888,42242,24591
2020,9_AZ,14379,11530,16944,19379,22296,45085,65626,92937,67523,68348,42217
2020,9_CA,8143,5411,10072,10739,11911,23146,30690,48969,37862,52552,54741
2020,9_FL,3797,3329,4956,6109,6335,14217,22816,32457,20441,21764,14536
2020,9_GA,7802,6553,12463,12502,12252,23225,34914,47778,35519,38476,28453
2020,9_IL,7712,7748,9270,7515,8488,17599,24926,36565,26211,36160,47833
2020,9_IN,10545,9516,15690,16219,16702,32628,46335,67239,48648,50695,30073
2020,9_MA,6392,5211,10046,10073,9697,21441,30024,46404,38637,56217,66011
2020,9_MI,6855,6870,10058,10959,12458,26774,40276,56890,46534,61848,56546
2020,9_NC,10647,10543,15332,16314,15645,31810,42723,61445,43885,49781,51207
2020,9_NJ,7507,6942,10174,11435,10661,20698,28059,41045,32189,44553,52749
2020,9_NY,4409,4055,6884,4594,4731,11003,14250,20674,15050,17474,16713
2020,9_OH,12716,14047,17400,17051,19754,38045,52732,71599,46951,51929,32718
2020,9_PA,9940,10340,17126,19231,19644,39328,51409,73032,54027,56102,34161
2020,9_TN,18514,13375,21362,19546,19604,38742,50178,65264,41536,48528,44198
2020,9_TX,18247,15176,19934,23043,24495,50410,64299,89580,60748,69223,68386
2020,9_VA,13696,13743,20644,19571,20232,35973,47278,62655,39735,37685,22486
2020,9_WA,9308,9421,11681,11364,11803,25495,41365,70175,55770,84301,112850
2021,0_AK,6479,4165,7170,8743,7393,16199,25524,45925,35821,50022,53119
2021,0_DC,15331,10385,11103,8879,6961,16966,21214,37968,35005,49276,97016
