Year,cd,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration
2019,8_NJ,68,11509,15189,7420,14975,16006,5025,19297,26311,23771,13168,6490,4352,96310,56,11064,9200,4763,7834,12420,2784,11938,15671,6060,8328,3426,2766,67271,12,445,5989,2657,7141,3586,2241,7359,10640,17711,4840,3064,1586
2019,12_NJ,336,7835,18798,6349,12181,9608,6597,19018,29163,35951,6498,4961,8986,95082,250,7214,11657,3947,7089,7131,4612,11609,18743,10867,3855,3166,4942,71199,86,621,7141,2402,5092,2477,1985,7409,10420,25084,2643,1795,4044
2019,4_NJ,418,12972,10287,5467,17543,9196,3725,12798,18043,34937,7553,5259,10309,86283,352,11855,6972,3996,9868,7630,2449,6961,11375,10589,4498,2731,7007,62224,66,1117,3315,1471,7675,1566,1276,5837,6668,24348,3055,2528,3302
2019,3_NJ,1489,21492,33524,12924,32988,19971,10525,38435,50986,79305,16385,12408,27607,205382,916,19458,23585,8962,18920,15928,7111,20993,32033,24212,10675,6683,15906,152657,573,2034,9939,3962,14068,4043,3414,17442,18953,55093,5710,5725,11701
2019,2_NJ,3039,19997,19100,7923,20909,13633,3703,13645,20152,54367,25321,8709,18035,128624,2288,18487,13350,5655,11739,10723,2449,6513,12679,13480,14526,5463,11272,99909,751,1510,5750,2268,9170,2910,1254,7132,7473,40887,10795,3246,6763
2019,1_NJ,791,16449,23145,11171,26913,17200,5778,22590,33680,68403,14881,9103,15678,146745,670,14843,16340,7776,16219,12982,3985,10928,19590,19730,8830,5239,9613,119037,121,1606,6805,3395,10694,4218,1793,11662,14090,48673,6051,3864,6065
2019,10_NY,311,12828,13161,9029,26552,14091,26556,61880,80732,74567,36340,14725,12640,212233,234,11964,7642,5661,14063,11475,14649,40212,44786,25071,23638,6295,6543,171179,77,864,5519,3368,12489,2616,11907,21668,35946,49496,12702,8430,6097
2019,12_NY,133,5767,11108,7910,17433,5901,22284,71112,76805,68250,20057,10877,8989,170774,95,4515,6369,4377,7669,4187,10679,47306,41174,24671,11053,4194,4485,155852,38,1252,4739,3533,9764,1714,11605,23806,35631,43579,9004,6683,4504
2019,13_NY,77,4881,4722,2860,12266,8521,6544,12810,18826,39866,20566,8039,5495,78770,77,4331,2922,2036,7728,7094,3632,7997,10573,13111,13380,3506,2383,66703,0,550,1800,824,4538,1427,2912,4813,8253,26755,7186,4533,3112
2019,11_NY,229,13948,5251,3382,13081,13936,4262,19840,20820,50093,10040,6122,14145,98373,145,12936,3482,2457,7794,11677,2911,11294,12853,12977,6420,3117,10310,76776,84,1012,1769,925,5287,2259,1351,8546,7967,37116,3620,3005,3835
2019,15_NY,399,19547,13611,6938,31147,30416,6348,28410,33333,118335,39612,19101,15610,195608,298,18213,8416,5089,19540,24396,3709,18404,20624,31979,27661,10082,7197,167199,101,1334,5195,1849,11607,6020,2639,10006,12709,86356,11951,9019,8413
